79,14,53,61,21,56,25,73,45,29,51,44,78,41,44,56
66,33,80,70,11,35,12,59,96,23,36,89,84,50,19,82
71,38,47,44,92,26,74,46,69,80,75,21,83,30,83,13
26,53,52,36,23,48,51,40,85,89,12,30,18,73,99,88
60,22,49,66,19,34,61,21,98,14,45,96,53,71,76,37
89,58,22,41,88,36,33,88,50,44,79,39,14,22,65,23
97,73,57,78,81,15,62,66,98,28,15,82,96,96,64,41
77,86,74,90,93,61,99,32,94,92,91,83,39,60,49,69
84,50,15,17,35,46,67,60,29,94,29,80,66,33,75,75
53,62,89,54,35,49,23,21,48,46,44,62,65,87,10,52
80,33,92,31,62,24,44,18,59,28,80,19,42,31,12,73
54,29,30,45,70,55,53,47,62,47,21,38,49,63,18,96
89,63,17,88,30,51,83,38,52,97,20,27,11,10,56,41
28,26,17,38,23,16,81,22,37,33,32,76,95,34,59,22
95,11,23,38,50,47,31,56,43,51,71,78,42,34,88,39
24,94,89,96,15,80,72,18,52,63,60,68,58,25,13,39
